                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.691,                 2.2367,                 1.7714,                0.28768,                0.02857,                 0.0216,                0.00892,                 4.2065,                 23.254,                 3.8907,             0.00065766,             0.00065766,             0.00065766
                      2,                 1.7798,                 2.1088,                 1.7918,                0.00218,                0.28571,                0.00143,                0.00031,                 3.9588,                 292.68,                  3.159,              0.0012588,              0.0012588,              0.0012588
                      3,                 1.7955,                 2.1113,                 1.8081,                0.02068,                    0.2,                  0.011,                0.00332,                 2.7787,                 15.011,                 2.5279,              0.0017939,              0.0017939,              0.0017939
                      4,                  1.711,                 2.0392,                 1.7576,                 0.2202,                0.25417,                0.11602,                0.05429,                 2.2792,                 3.4998,                 2.1264,               0.001703,               0.001703,               0.001703
                      5,                 1.6478,                 2.0388,                   1.71,                0.19712,                0.05714,                0.04204,                0.01675,                 2.3773,                 3.3885,                 2.0829,               0.001703,               0.001703,               0.001703
                      6,                 1.6357,                 1.9525,                 1.7115,                0.52738,                0.25714,                0.28878,                 0.1359,                 2.2406,                 2.4082,                 1.9669,               0.001604,               0.001604,               0.001604
                      7,                 1.5078,                 1.8777,                 1.6281,                0.32525,                    0.3,                 0.2516,                0.10722,                  2.137,                  2.702,                 1.8241,               0.001505,               0.001505,               0.001505
                      8,                 1.5655,                  1.862,                 1.6563,                0.09112,                0.18571,                0.05733,                0.01981,                 2.2639,                 3.1392,                 1.9309,               0.001406,               0.001406,               0.001406
                      9,                 1.5111,                 1.7559,                 1.6199,                 0.1835,                0.31429,                0.13708,                0.06906,                 2.0007,                 2.4468,                 1.7565,               0.001307,               0.001307,               0.001307
                     10,                 1.4722,                 1.7769,                 1.5908,                0.24776,                0.25714,                0.15091,                0.05229,                 2.0197,                 2.4246,                 1.6631,               0.001208,               0.001208,               0.001208
                     11,                 1.5869,                 1.9157,                 1.7627,                 0.2619,                0.28571,                0.17706,                0.04784,                 2.1608,                  2.563,                  1.867,               0.001109,               0.001109,               0.001109
                     12,                   1.54,                 1.8179,                 1.7117,                0.28934,                0.21429,                 0.1336,                0.05502,                 2.0544,                 2.5245,                 1.7545,                0.00101,                0.00101,                0.00101
                     13,                   1.53,                 1.7169,                 1.7132,                 0.2553,                0.28571,                0.15105,                0.05165,                 2.1458,                 2.7422,                 1.8198,               0.000911,               0.000911,               0.000911
                     14,                 1.4954,                  1.709,                 1.6761,                0.25682,                0.25714,                0.15396,                0.07399,                 1.9718,                 2.4185,                 1.6311,               0.000812,               0.000812,               0.000812
                     15,                 1.4454,                   1.62,                  1.644,                0.20694,                0.32857,                0.17357,                0.07565,                   2.08,                 2.5557,                 1.7087,               0.000713,               0.000713,               0.000713
                     16,                  1.423,                 1.5676,                  1.638,                0.35061,                0.27143,                0.20347,                0.08612,                 2.0549,                 2.3395,                 1.6871,               0.000614,               0.000614,               0.000614
                     17,                  1.355,                 1.5131,                 1.6028,                0.18665,                0.28571,                0.14108,                0.06902,                 2.0032,                 2.5099,                 1.6466,               0.000515,               0.000515,               0.000515
                     18,                 1.3834,                 1.4777,                 1.6067,                0.38819,                0.30824,                0.25935,                0.12028,                 1.9454,                 2.1828,                 1.6322,               0.000416,               0.000416,               0.000416
                     19,                 1.3463,                 1.4815,                 1.5861,                0.42446,                0.35714,                 0.3428,                0.14212,                 1.9431,                 2.1637,                 1.6239,               0.000317,               0.000317,               0.000317
                     20,                 1.2858,                 1.3896,                 1.5389,                0.24377,                0.37143,                0.26444,                0.09538,                 1.9837,                 2.3281,                 1.6569,               0.000218,               0.000218,               0.000218
