path,class_index
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (10).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (100).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1000).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1001).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1002).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1003).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1004).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1005).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1006).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1007).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1008).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1009).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (101).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1010).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1011).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1012).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1013).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1014).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1015).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1016).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1017).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1018).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1019).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (102).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1020).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1021).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1022).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1023).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1024).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1025).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1026).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1027).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1028).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1029).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (103).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1030).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1031).png,1
